Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Stu Karnus",531577471,4121413,2457797,1663616,147,10,61,222,53,84,185,8,28,47,86,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,11,9,5
"Kapidon",383431245,5485325,3131700,2353625,133,153,258,270,115,173,233,21,36,78,99,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,19,11,7
"Zayelt Yazmin",921894553,3423403,1961939,1461464,134,6,66,161,70,57,124,6,13,31,64,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,11,7,5
"Let QuiGons Be QuiGons",639535773,1428073,876214,551859,158,-142,45,74,12,3,62,0,1,9,23,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2
"Expired Sushi",768545185,2652673,1578747,1073926,147,6,101,110,42,21,101,0,6,19,46,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,10,8,5
"Emi Hiro",155525455,3356642,1884092,1472550,127,158,100,124,40,34,133,3,15,20,35,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,4,3,1
"Ohyeahh",285741717,2663359,1602017,1061342,150,-46,12,131,21,25,97,2,7,23,40,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,4,3,2
"R'Karri Ker",341956545,4889399,2837807,2051592,138,-121,105,191,91,118,194,17,25,45,90,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,15,10,9
"Korvan",892356389,4702367,2440350,2262017,107,-104,249,236,72,167,174,14,34,44,71,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,14,8,5
"tedge crafterone",746152244,3844406,2086923,1757483,118,-66,19,120,53,76,135,11,12,19,38,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,3,2,1
"GameMasterTy",638481212,4375497,2528500,1846997,136,-40,75,142,58,52,192,5,12,40,72,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,18,14,11
"Yama Daimyo",218133625,4351741,2584169,1767572,146,114,154,169,87,64,178,1,18,43,78,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,14,11,7
"Chris Stapleton",496369314,4625586,2673401,1952185,136,-46,239,185,86,99,175,10,21,45,79,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,17,12,8
"ThePatterner",914245834,3170959,1766711,1404248,125,-100,67,71,46,28,118,1,7,10,38,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,7,5,4
"Amish Thunder",176912959,4445119,2509641,1935478,129,-72,99,151,81,46,180,2,15,43,80,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,15,10,8
"anonymous",431595342,4406307,2660635,1745672,152,-28,93,187,81,69,173,4,22,47,68,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,15,12,7
"Quill",467874947,4612165,2644441,1967724,134,-41,181,180,85,52,178,8,10,63,79,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,14,10,7
"Dark Helmet",168861666,5820457,3389257,2431200,139,0,88,183,112,88,221,5,24,65,113,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,21,13,9
"Solomon Grundy",288848511,5491663,3064944,2426719,126,-1,107,201,91,88,190,8,17,76,100,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,18,10,8
"Hadriel Jetberg",557479928,4002554,2380714,1621840,146,-29,113,186,69,74,169,5,20,40,86,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,13,10,6
"Deell Jade",845646992,5657040,3265892,2391148,136,-50,232,232,107,117,206,16,25,83,109,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,19,13,9
"Fruitloopsttv",563554631,3842330,2277585,1564745,145,249,166,212,64,103,165,13,22,39,72,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,10,8,6
"Wedge",484298845,5495619,3148270,2347349,134,-255,282,298,109,210,197,17,44,78,111,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,19,13,9
"Synk",193713242,2184956,1284843,900113,142,-4,46,171,25,22,74,1,11,22,31,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2
"JoeBunz69",676581616,3352920,1998208,1354712,147,-12,270,167,58,50,128,5,11,35,73,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,11,7,5
"Meeraval Marnath",945775464,6200642,3507144,2693498,130,71,296,256,108,216,218,28,42,74,121,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,22,14,12
"Ravith",514656659,5466790,3034933,2431857,124,-97,131,185,83,86,216,2,24,60,101,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,22,12,11
"Pak Mazurel",467455451,6292947,3664163,2628784,139,34,100,332,119,282,221,33,56,97,128,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,19,11,9
"yoadreane",578743589,4615686,2784906,1830780,152,-10,78,152,70,81,172,4,20,34,72,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,13,9,9
"Gator614",963847735,5479143,3078783,2400360,128,-218,220,263,102,158,207,18,35,78,102,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,19,12,10
"Azrian Wayfinder",534697898,5507506,3129912,2377594,131,13,108,178,105,96,206,7,23,56,98,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,17,12,7
"EricB",277862798,5374715,2993422,2381293,125,16,237,277,92,171,208,17,35,80,95,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,16,10,6
"MCMC the first",454521453,5484700,3097115,2387585,129,-137,132,227,88,123,199,14,31,69,108,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,20,13,10
"Taopiglet",135722653,6091956,3451639,2640317,130,100,133,316,103,249,220,32,48,95,131,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,23,13,9
"Karsa orlong",537365387,4010553,2356343,1654210,142,-60,271,142,68,55,124,2,16,30,80,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,13,8,5
"Fargo",686762428,3157660,1785801,1371859,130,-366,464,274,62,98,120,13,21,46,66,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,8,4,5
"Chris Dodi",465866156,3882925,2121971,1760954,120,-28,75,217,60,97,159,12,23,42,59,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,12,8,5
"StradsMan3",932773673,4988325,2943743,2044582,143,3,101,159,94,64,217,1,21,46,94,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,17,9,8
"Narbpolo4",533456929,4220271,2593870,1626401,159,-66,165,264,83,118,165,8,28,60,93,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,17,13,9
"Fixious",461848386,4135751,2730217,1405534,194,72,252,224,95,125,155,17,24,44,98,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,13,7,6
"Moe",425864333,3289759,1882070,1407689,133,-412,95,224,54,85,133,10,20,37,59,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,10,9,4
"JMCampbell",889555414,3117955,1859630,1258325,147,-57,123,135,36,17,150,0,8,31,49,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,3
"Stormsiege",588394424,5371910,3134947,2236963,140,17,204,256,102,155,193,13,35,72,106,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,19,12,9
"JediAce",883842231,2903393,1762774,1140619,154,1,90,57,34,9,119,1,3,12,52,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,5,6
