Player,Offense,Defense,GP,Name,Squad,Viable
"Tim",1,1,96981,NS_Alt,"zzMT Acolyte zDaka zAV Zombie",1
"Tim",1,1,116256,Revan,"zzzJKR zBS zzGMY zJolee zGK",1
"Tim",1,0,102393,ShaakClones,"zzShaak Ti 6*, zRex zEcho zzFives zARC Trooper",1
"Tim",0,1,116636,BH,"zzBossk zIG-88 zBoba zGreedo zDengar",1
"Tim",0,1,101997,Phoenix,"zHera zKanan zEzra zSabine zZeb",1
"Tim",1,0,73368,Wiggs,"Wedge G8, Biggs G8, CLS G7, zzChewbacca G8, Leia G7",1
"Tim",1,0,104302,EP (trio),"zzEP Traya zDN zSion zzThrawn",1
"Tim",,,361888,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter 3*, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter 3*, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",0
"Tim",0,1,61192,Geonosians,"GBA 4* G7, Poggle G7, Geo Soldier G8, Geo Spy G8, Sun Fac G7",0
"Tim",,,61404,Nute-Wat,"Nute G8, Dooku G7, Wat Tambor 4* G5, Jango G7, zNest G7",0
"Tim",1,0,45537,Troopers,"Veers 5* G7, Starck G8, Magma G4, Snowtrooper G6, Shoretrooper 3* G7",0
"Tim",0,1,67784,FO,"KRU G8, Kylo G8, FOE G8, Phasma G8, FOO G8",0
"Tim",1,1,64595,Rogue1,"Jyn G7, Chirrut G7, Baze G7, Bistan G8, Cassian G8",0
"Tim",1,0,93081,Zader (Counter),"zzzVader Mission G7, zZaalbar G8, zzTarkin Sidious G7",0
"Christinayadig",1,1,96761,NS,"zzMT zAV zDaka Zombie Spirit",1
"Christinayadig",0,1,129665,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Christinayadig",,,406409,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Jedi Consular's Starfighter, Plo Koon's Jedi Starfighter",1
"Christinayadig",0,1,102563,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Christinayadig",1,1,103444,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 Finn",1
"Christinayadig",1,1,113007,Revan Offense,"zzzJKR zGMY zBS zJolee zEzra",1
"Christinayadig",1,1,95865,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Christinayadig",1,1,99748,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"Christinayadig",0,1,106415,BH,"zzBossk Boba Cad zzThe Mandalorian, Dengar",1
"Christinayadig",0,1,97152,FO,"zzKRU zKylo FOST G9, FOE FOO",1
"Christinayadig",1,0,113541,CLS,"zzzCLS zHan zLeia zFulcrum zzChewbacca",1
"Christinayadig",0,1,68846,Phoenix,"Hera Chopper Kanan G8, Sabine G8, Zeb G8",1
"Christinayadig",1,0,14592,SionSolo (Counter),"Sion G9",1
"Christinayadig",1,0,96810,ShaakClones,"zzShaak Ti, zRex zEcho zFives Clone Sergeant G8",0
"Christinayadig",1,1,94260,zEP,"zEP zzzVader Tarkin DT G8, TFP",0
"Christinayadig",0,1,73596,BH,"Jango G8, IG-88 Greedo G8, Zam G8, Aurra",0
"MJ",0,1,88832,Qira,"zQira L3-37 G8, Vandor Chewbacca G8, zMission zZaalbar",1
"MJ",0,1,126529,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"MJ",0,1,121247,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"MJ",1,1,96631,NS_Alt,"zzMT zAV Zombie Talia zDaka",1
"MJ",,,427623,HansMF,"Home One, Han's MF 6*, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing",1
"MJ",0,1,90920,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"MJ",0,1,102580,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"MJ",1,1,145226,JTR,"zzzJTR zScav Rey, zzBB-8 zzR2-D2 Finn",1
"MJ",1,1,126317,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"MJ",1,1,84498,Ewoks,"zChirpa Elder zPaploo zWicket Logray G9",1
"MJ",0,1,106110,BH,"zzBossk zBoba zzEmbo Dengar zNest",1
"MJ",1,1,89269,zEP,"zzEP zVader Tarkin IPD G9, TFP",1
"MJ",0,1,91287,FO,"zzKRU zKylo FOST FOE FOO",1
"MJ",0,1,96825,Phoenix,"zHera zKanan zEzra zSabine zZeb",1
"MJ",1,0,83289,Clones,"zCody Rex Echo Fives Clone Sergeant",1
"MJ",1,0,109256,CLS,"zzzCLS zHan zLeia zFulcrum zzChewbacca",1
"MJ",1,0,70431,Thragma (Counter),"Thrawn Magma G8, DT Stormtrooper G9, Shoretrooper G9",1
"MJ",1,0,96541,zMaul,"zMaul zDooku zzDN Sith Assassin, zSavage",1
"MJ",1,1,86758,Rogue1,"zzJyn Chirrut Baze K-2SO G9, Cassian",1
"MJ",1,0,65257,Jawas,"Nebit G8, Jawa Engineer G9, Jawa Scavenger G8, Jawa G9, Dathcha G9",1
"MJ",1,0,20632,SionSolo (Counter),"zSion",1
"MJ",,,73991,Mon Mothma,"Mon Mothma 4* G9, Biggs Scarif G9, Lando Wedge",0
"MJ",0,1,88263,BH,"Jango IG-88 Greedo Zam Cad",0
"Goovey",0,1,80595,padme,"zzPadme G9, zGK JKA G8, Ahsoka G9, CW Chewbacca G8",1
"Goovey",0,1,94168,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Goovey",1,1,108757,JTR,"zzzJTR zScav Rey, zBB-8 G9, zzR2-D2 zFinn G9",1
"Goovey",1,1,117784,Revan Offense,"zzzJKR zzGMY zBS zJolee HYoda",1
"Goovey",0,1,73950,Phoenix,"Hera Kanan Ezra Sabine G8, Zeb G8",1
"Goovey",1,0,93802,Wiggs,"Wedge Biggs G8, zzzCLS zHan zLeia",1
"Goovey",1,1,78782,Rogue1,"zJyn Chirrut Baze G8, K-2SO G8, Cassian G9",1
"Goovey",1,0,86420,Zader (Counter),"zzzVader Mission G9, Zaalbar G8, Tarkin Boba",1
"Goovey",1,0,68154,Jawas,"Nebit G8, Jawa Engineer G9, Jawa Scavenger G8, Jawa G9, Dathcha G9",1
"Goovey",1,0,14302,SionSolo (Counter),"Sion G8",1
"Goovey",1,1,94788,NS_Alt,"zzMT zzAV Zombie Talia G8, zDaka",0
"Goovey",,,298726,Negotiator,"Negotiator 6* HT 2* Anakin's Eta-2 Starfighter 4*, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",0
"Goovey",0,1,67897,Grievous,"GG G9, B2 6* G6, Dooku IG-88 G9, T3-M4 G8",0
"Goovey",0,1,66819,BH,"Bossk G9, Greedo G8, Zam G9, Cad G8, Dengar 6* G7",0
"Goovey",1,0,83981,Clones,"Cody G8, zRex zEcho G9, zzFives G9, Clone Sergeant G9",0
"Goovey",1,0,53707,Troopers,"Veers G8, Starck G7, Magma G7, Snowtrooper G7, Stormtrooper",0
"Goovey",0,1,74117,FO,"zzKRU G8, zKylo G9, FOTP G9, FOST G8, Phasma G8",0
"Goovey",1,0,7867,NestSolo (Counter),"Nest 3* G7",0
"Walt Flannagan",0,1,135337,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Walt Flannagan",1,1,105572,NestSisters,"zzAV zzMT Daka Zombie zNest",1
"Walt Flannagan",,,438219,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
