Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Isrouk",419737585,4163919,2427442,1736477,139,-107,74,140,68,32,194,0,12,40,71,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,15,10,8
"IG89",169975961,4521811,2703709,1818102,148,-138,136,228,93,86,171,6,28,58,105,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,17,12,10
"Pens71fan",518819797,3851141,2146501,1704640,125,71,69,191,58,84,157,10,19,38,51,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,7,4,4
"LordJasonG",819995423,5200487,3132838,2067649,151,26,165,261,89,155,188,19,36,69,101,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,14,10,7
"ShadowNFLD",977798117,5682841,3267048,2415793,135,82,146,193,102,85,211,11,17,76,109,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,21,13,11
"jswaney13",376261185,4255602,2366809,1888793,125,-158,152,115,84,36,162,1,13,29,70,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,15,10,7
"Dermott Ren",939376829,6726101,3874212,2851889,135,62,518,368,127,295,233,34,65,124,151,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,24,13,12
"Pharos",285765911,5866841,3395651,2471190,137,164,197,259,108,166,209,14,38,81,132,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,21,13,12
"Чайка",322119786,5087500,2801128,2286372,122,-190,107,157,87,66,184,8,13,54,81,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,18,10,9
"Forrest",315694856,6108064,3437486,2670578,128,135,273,350,114,270,211,35,52,108,133,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,20,14,10
"MJ",498527164,5550237,3294206,2256031,146,92,84,205,97,105,214,10,27,66,133,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,22,14,13
"Vacant654",817754263,5137378,2969796,2167582,137,-162,407,247,106,142,197,15,33,66,96,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,18,12,10
"ObiJuan",765764125,1816886,1137923,678963,167,-45,70,114,18,19,46,2,5,12,23,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,1
"Bond316",464574793,4974486,2960443,2014043,146,-205,175,227,105,120,183,12,27,62,89,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,17,12,10
"MasterSki",294819853,5198331,3019741,2178590,138,-105,192,215,92,109,202,5,28,62,105,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,18,13,9
"Invader Zim",667168135,4815741,2828058,1987683,142,-22,56,221,53,43,186,1,16,82,89,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,15,12,8
"Walt Flannagan",424929841,4318235,2373578,1944657,122,-45,223,236,63,81,162,6,26,60,87,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,13,10,6
"Deciuss",195833936,4118075,2471821,1646254,150,44,68,231,62,42,179,3,12,75,86,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,15,11,9
"Tim",161512637,3750631,2019914,1730717,116,-98,34,123,54,12,157,0,4,40,47,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,8,4,6
"Hippopotamus",735562823,3899594,2241200,1658394,135,-190,182,222,73,73,155,6,19,53,85,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,14,9,7
"Thraken Vih'Torr",983157531,6030341,3429117,2601224,131,-8,376,271,106,143,220,12,35,100,134,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,22,14,10
"Bu Char",837277567,5914355,3475784,2438571,142,225,212,307,110,213,218,28,44,95,119,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,18,10,8
"Rick Grimes",649397862,5450223,3191130,2259093,141,-104,238,252,95,139,210,17,29,81,123,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,17,10,9
"March Comicshock",992127296,4384753,2601668,1783085,145,1,84,137,64,26,204,1,10,45,81,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,16,11,9
"Leo 553",728446454,2210807,1281415,929392,137,-202,23,58,14,10,81,0,4,7,20,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,3,1,2
"DS615",822535619,3174105,1852552,1321553,140,-10,91,137,28,44,117,4,11,24,54,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,10,8,5
"Zarrawn",839984919,2098677,1161955,936722,124,27,103,81,25,15,67,1,5,9,22,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
"hippy",141598658,4934457,2799371,2135086,131,-41,107,198,81,89,192,10,20,60,95,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,16,12,8
"Waldemort",185115729,3129343,1748225,1381118,126,59,85,163,31,46,132,5,10,32,48,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,9,7,4
"GAH",175735628,571000,411539,159461,258,-527,0,17,6,0,5,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sheev's  apprentice",282569775,6265081,3594823,2670258,134,44,133,330,102,314,216,43,59,85,119,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,19,13,12
"elpaca",116455619,5504066,3156432,2347634,134,-77,218,268,111,179,192,23,36,76,120,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,20,12,10
"Goovey",271449388,3448858,2120170,1328688,159,174,70,91,50,18,152,1,6,22,46,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,10,8,6
"Christinayadig",152354614,4004918,2371557,1633361,145,143,71,208,83,48,163,1,13,61,91,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,14,9,8
"Abraham Ford",488687759,5331774,2998121,2333653,128,241,203,245,95,120,198,15,26,81,115,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,17,11,7
"dark",328185794,5310055,3257339,2052716,158,70,89,223,106,64,190,3,15,91,124,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,16,12,9
"Fango Jett",762395892,63443,61085,2358,2590,-353,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Relyat",254693328,5662012,3199903,2462109,129,277,471,352,119,249,211,29,56,94,119,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,20,13,8
"Victorwolf",388136674,6100,6100,0,100,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Draaco Frost",527623374,6178780,3551961,2626819,135,-95,242,262,111,190,213,25,38,86,135,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,21,14,10
"Zverkan",958339664,4285026,2580290,1704736,151,-44,73,237,85,29,177,1,33,63,96,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,17,11,9
"Sharkbait",357352143,399233,243127,156106,155,273,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B WagZ 27",714458715,5138432,2938897,2199535,133,-143,197,217,97,115,208,13,25,64,102,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,17,12,8
"Kim",128159759,532646,332545,200101,166,271,30,0,0,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Yosh",145299637,394844,225501,169343,133,677,133,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chiliredlotus",856155633,4488492,2677827,1810665,147,-33,145,245,84,100,173,9,26,64,89,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,18,11,10
