Player,Offense,Defense,GP,Name,Squad,Viable
"Shrimplet596",1,1,119069,NS_Alt,"zzMT zAV Talia Zombie zDaka",1
"Shrimplet596",0,1,76230,Geonosians,"zzGBA 5* Poggle Geo Soldier, Geo Spy G9, Sun Fac G9",1
"Shrimplet596",0,1,56295,Grievous,"zGG 5* G9, B2 6* G7, Droideka 3* G8, Nute Dooku 5* G9",0
"Shrimplet596",1,0,64474,ShaakClones,"Shaak Ti 4*, Rex Echo G9, Fives G9, ARC Trooper 5* G8",0
"Shrimplet596",1,1,66893,zEP,"EP G8, zzzVader Tarkin DT 5* G8, TFP 5* G8",0
"Shrimplet596",0,1,73758,BH,"zzJango 5* G9, Greedo G8, Boba G9, zzBossk 6* Dengar 5* G8",0
"Shrimplet596",1,0,58438,Wiggs,"Wedge 5* G8, Biggs G8, zCLS G9, Han G7, Leia G8",0
"Shrimplet596",0,1,41851,Phoenix,"Hera 5* G8, Chopper 6* G8, Kanan G8, Ezra 5* G8, Zeb G8",0
"Shrimplet596",1,1,40679,Rogue1,"Jyn 5* G8, Chirrut 5* G8, Baze 5* G8, Cassian 5* G8, K-2SO G8",0
"Shrimplet596",0,1,35178,FO,"KRU 5* G8, Kylo 5* G8, FOE 5* G9, FOO 5* G8, Phasma 6* G8",0
"lil commie285",0,1,68530,Phoenix,"Hera G9, Kanan G8, Sabine Ezra G9, Zeb G8",1
"lil commie285",0,1,49925,Geonosians,"GBA 4* G8, Poggle G8, Geo Soldier 5* G9, Geo Spy 5* G9, Sun Fac 6* G7",0
"lil commie285",0,1,63208,Grievous,"zGG B2 5* G8, Droideka 2* G9, MagnaGuard 6* G9, T3-M4 6* G8",0
"lil commie285",1,1,83055,zEP,"zzEP zzVader Tarkin Dooku 4* G8, TFP",0
"lil commie285",0,1,53963,BS,"BS 6* G9, GMY 5* Jolee 5* G8, GK 5* G8, Ahsoka G8",0
"TK 79347",0,1,59210,Phoenix,"Hera G8, Chopper 6* G7, Kanan G8, Ezra G8, Zeb G8",0
"TK 79347",1,0,72370,Zader (Counter),"zzVader Mission 5* G8, Zaalbar 5* G8, Tarkin Boba G8",0
