Player,Offense,Defense,GP,Name,Squad,Viable
"LongTaco15",1,1,98700,NS,"zzMT zzAV zDaka Zombie Spirit",1
"LongTaco15",0,1,111580,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"LongTaco15",0,1,110772,DRMalak,"zzzDR zzHK-47 zBSF zzMalak 6* Sith Empire Trooper,",1
"LongTaco15",,,397260,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing,",1
"LongTaco15",0,1,93734,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"LongTaco15",0,1,107470,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"LongTaco15",1,0,113804,Traya,"zzTraya zzDN zSion zzEP zzThrawn",1
"LongTaco15",1,1,110858,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 zFinn",1
"LongTaco15",0,1,106416,BH,"zzJango zBoba zDengar zGreedo zNest",1
"LongTaco15",1,1,134823,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"LongTaco15",1,1,89401,Ewoks,"zChirpa Elder Paploo Wicket zLogray",1
"LongTaco15",1,1,90060,Carth,"zCarth Onasi, zMission Zaalbar zJuhani Canderous",1
"LongTaco15",1,0,100904,ShaakClones,"zzShaak Ti, zRex Echo zzFives Clone Sergeant,",1
"LongTaco15",0,1,86058,FO,"zzKRU zKylo FOE FOO FOST G9",1
"LongTaco15",1,0,108852,CLS,"zzzCLS zHan Leia Fulcrum zzChewbacca",1
"LongTaco15",0,1,93941,Phoenix,"zHera zEzra zZeb zKanan Sabine",1
"LongTaco15",1,1,74716,Rogue1,"Jyn Chirrut Baze Pao G8 Cassian G8",1
"LongTaco15",1,0,98874,Zader (Counter),"zzzVader zzWampa Tarkin G8 zSidious Shoretrooper G8",1
"LongTaco15",1,0,81540,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
"LongTaco15",,,295158,Executrix,"Executrix Tie Adv, Emperor's Shuttle 6*, TIE Reaper 6*, Imperial TIE Fighter, Gauntlet Starfighter 6*, First Order SF TIE Fighter, First Order TIE Fighter,",0
"LongTaco15",1,0,58984,Troopers,"Veers G8 Starck G8 DT G8 Snowtrooper G8 Stormtrooper G5",0
"Josiah Zethno",0,1,100874,padme,"zzPadme zGK zJKA Ahsoka C-3PO G9",1
"Josiah Zethno",0,1,102846,DRMalak,"zzzDR HK-47 zBSF zzMalak 6* Sith Empire Trooper,",1
"Josiah Zethno",,,379842,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing,",1
"Josiah Zethno",0,1,95386,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"Josiah Zethno",1,0,121045,Traya,"zzTraya zDN zSion zzEP zzThrawn",1
