Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Jherek5150",812739573,4086969,2383854,1703115,139,-80,306,242,69,90,188,13,22,59,83,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,17,11,9
"Scarb Fir",872612614,3549212,2174102,1375110,158,55,202,226,71,62,143,2,20,48,80,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,14,9,7
"KelMi",549815984,4958688,2859035,2099653,136,-2,136,187,67,86,178,8,22,54,100,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,18,11,10
"DarthWhiskey",662147473,5053536,2881033,2172503,132,27,34,156,86,65,210,8,15,51,83,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,17,9,7
"Odog916",568143631,4348841,2637968,1710873,154,-79,98,198,84,107,180,9,26,39,76,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,15,10,9
"Nitsuj",229914247,5553358,3193393,2359965,135,0,112,159,79,14,222,1,6,80,119,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,22,14,12
"Vaulkin",538879583,4768633,2762452,2006181,137,-4,83,148,80,44,193,1,15,47,87,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,16,11,7
"Blaster08",855782277,4788638,2681418,2107220,127,15,227,223,79,110,211,12,23,62,92,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,18,11,9
"CaptainClown",524986595,5255904,3079940,2175964,141,88,201,195,96,89,197,7,21,64,112,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,18,12,9
"Bev el Agua",614383692,5598806,3137975,2460831,127,83,286,259,93,171,208,20,34,77,107,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,18,12,8
