Player,Offense,Defense,GP,Name,Squad,Viable
"DarthKonan",0,1,74430,Qira,"Qira L3-37 G8 Vandor Chewbacca 6* G8, zMission zZaalbar",0
"DarthKonan",1,0,121913,padme,"zzPadme zGK zJKA zAhsoka C-3PO G9",1
"DarthKonan",0,1,104681,DR,"zzzDR HK-47 zBSF Sith Assassin G8, zzThrawn",1
"DarthKonan",1,1,79270,NestSisters,"zAV zMT G9 Daka Zombie G8 Nest 5*",0
"DarthKonan",,,367913,Negotiator,"Negotiator 5* HT 6* Anakin's Eta-2 Starfighter 4*, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170,",0
"DarthKonan",0,1,81720,Geonosians,"zzGBA G9 Poggle Geo Soldier, Geo Spy, Sun Fac G8,",1
"DarthKonan",1,1,98184,JTR,"zJTR Scav Rey, zBB-8 zzR2-D2 RT",1
"DarthKonan",1,0,97926,Traya,"zTraya G9 zDN zSion Dooku zzEP",0
"DarthKonan",1,1,122062,Revan Offense,"zzzJKR zGMY zBS zJolee zzHYoda",1
"DarthKonan",1,1,94996,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"DarthKonan",0,1,91536,Grievous,"zzGG zB2 B1 G9 MagnaGuard IG-88",1
"DarthKonan",0,1,114884,BH,"zzBossk zBoba Cad zDengar zGreedo",1
"DarthKonan",1,0,77240,ShaakClones,"Shaak Ti 5* G8, zRex Echo Fives G9 Clone Sergeant,",0
"DarthKonan",1,0,65011,Troopers,"Veers G9 Starck G7 Range Trooper 6* G6, Shoretrooper Snowtrooper G9",0
"DarthKonan",0,1,76104,Phoenix,"Hera G9 Ezra Zeb Kanan Sabine G8",1
"DarthKonan",1,0,89120,Wiggs,"Wedge G8 Biggs zzCLS zHan Leia",1
"DarthKonan",1,1,72730,Rogue1,"Jyn G8 Chirrut Baze K-2SO G8 Cassian G9",1
"DarthKonan",0,1,71450,FO,"zKRU G8 Kylo G9 FOE G9 FOO FOST G8",0
"DarthKonan",1,0,96476,zMaul,"zMaul Sidious zzVader zSavage Sith Empire Trooper,",1
"DarthKonan",1,0,57243,Jawas,"Nebit G7 Jawa Engineer 6* G9, Jawa Scavenger G8, Jawa G9 Dathcha",0
"Jakendo",0,1,123628,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Assassin,",1
"Jakendo",1,0,110380,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Jakendo",1,1,91521,NS,"zzMT zzAV zDaka Zombie Spirit 6* G3",0
"Jakendo",0,1,90686,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"Jakendo",,,323314,Negotiator,"Negotiator 5* HT 4* Anakin's Eta-2 Starfighter 6*, Umbaran Starfighter 5*, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Jedi Consular's Starfighter, Rex's ARC-170 4*,",0
"Jakendo",1,0,95708,Traya,"zzTraya zDN zSion Dooku Thrawn G9",1
"Jakendo",1,1,108693,JTR,"zzzJTR zScav Rey, zBB-8 zzR2-D2 Finn",1
"Jakendo",1,1,111106,Revan Offense,"zzzJKR zGMY BS zJolee zEzra",1
"Jakendo",1,1,85425,Ewoks,"zChirpa Elder Paploo Wicket zLogray G9",1
"Jakendo",1,1,87785,Carth,"zCarth Onasi, Mission zZaalbar Juhani G8 Canderous",1
"Jakendo",0,1,104544,BH,"zBossk zBoba Cad zDengar zGreedo",1
"Jakendo",1,0,64829,ShaakClones,"Shaak Ti 5* G8, Rex G7 Echo G7 Fives G8 Clone Sergeant,",0
"Jakendo",0,1,77073,Grievous,"GG B2 G4 MagnaGuard G9 zNute IG-88",0
"Jakendo",1,0,103394,CLS,"zzCLS zHan Leia Old Ben, zzChewbacca",1
"Jakendo",0,1,83555,Phoenix,"Hera Chopper G9 zZeb G8 zKanan zSabine",1
"Jakendo",0,1,66350,FO,"KRU 5* G8 zKylo FOO G8 FOST G8 FOTP G9",0
"Jakendo",1,0,79431,zMaul,"Maul Sidious G7 Vader EP Sith Empire Trooper,",0
"Jakendo",1,0,64293,Jawas,"Nebit G8 Jawa Engineer G5, Jawa Scavenger G9, Jawa G9 Dathcha G9",0
"Pet Jam Rie",0,1,92340,Qira,"Qira L3-37 G8 zVandor Chewbacca G8, zMission zZaalbar",1
"Pet Jam Rie",1,1,104224,NS,"zzMT zzAV Daka Zombie Spirit G9",1
"Pet Jam Rie",1,0,124778,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Pet Jam Rie",0,1,118582,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Assassin G8,",1
"Pet Jam Rie",,,420157,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing,",1
"Pet Jam Rie",0,1,92082,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"Pet Jam Rie",1,0,115468,Traya,"zzTraya zzDN zSion zzEP zzThrawn",1
"Pet Jam Rie",1,1,114900,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 zFinn",1
"Pet Jam Rie",1,1,125117,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"Pet Jam Rie",1,1,86678,Ewoks,"zChirpa Elder Paploo zWicket Logray",1
"Pet Jam Rie",0,1,104944,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"Pet Jam Rie",1,0,96206,ShaakClones,"zzShaak Ti, zRex Echo Fives Clone Sergeant,",1
"Pet Jam Rie",0,1,104789,BH,"zzBossk zBoba Dengar zIG-88 Zam",1
"Pet Jam Rie",0,1,85042,BH,"zzJango Aurra 5* Cad Embo 6* G9 Greedo",0
"Pet Jam Rie",1,0,76280,Troopers,"zVeers Starck G9 DT Range Trooper G8, Shoretrooper",1
"Pet Jam Rie",0,1,91381,FO,"zzKRU zKylo G9 FOE FOO zFOST G9",1
"Pet Jam Rie",0,1,81795,Phoenix,"zHera zEzra Zeb G9 Kanan G9 Sabine",1
"Pet Jam Rie",1,0,100110,Wiggs,"Wedge Biggs zzzCLS zzChewbacca Fulcrum",1
"Pet Jam Rie",1,1,90561,Rogue1,"zJyn Chirrut Baze K-2SO Cassian",1
"Pet Jam Rie",1,0,96733,zMaul,"Maul zDooku zzVader zSavage Sith Empire Trooper,",0
"Pet Jam Rie",1,0,67556,Jawas,"Nebit G8 Jawa Engineer G9, Jawa Scavenger G8, Jawa G9 Dathcha G9",1
"Pet Jam Rie",1,0,16113,NestSolo,"Nest",1
"Morningstar",1,1,103268,NestSisters,"zzAV zMT Daka Zombie zNest",1
"Morningstar",1,0,137189,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"Morningstar",0,1,145716,DRMalak,"zzzDR zzHK-47 zBSF zzMalak zThrawn",1
"Morningstar",,,354131,Negotiator,"Negotiator 6* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter 5*, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter,",0
"Morningstar",0,1,102433,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac,",1
"Morningstar",1,1,107463,JTR,"zzzJTR Scav Rey, zBB-8 zzR2-D2 RT",1
"Morningstar",1,0,101644,Traya,"zTraya G9 zDN zSion Dooku zzEP",0
"Morningstar",1,1,121260,GAS,"zzzGAS zRex zEcho zzFives zARC Trooper,",1
"Morningstar",1,1,110745,Revan Offense,"zzzJKR zGMY zBS zJolee HYoda",1
"Morningstar",0,1,124055,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Morningstar",1,1,82837,Ewoks,"zChirpa Elder Paploo Scout Wicket",1
"Morningstar",1,1,87208,Carth,"zCarth Onasi, Mission zZaalbar Juhani G9 Canderous",1
"Morningstar",0,1,102737,BH,"zzBossk Boba Cad Dengar Greedo",1
"Morningstar",0,1,84654,Phoenix,"Hera zEzra Zeb G8 Kanan Sabine",1
"Morningstar",1,0,107480,CLS,"zzCLS zHan Wedge Biggs zzChewbacca",1
"Morningstar",1,0,76246,Troopers,"zVeers Starck G9 DT Shoretrooper G8 Snowtrooper G9",1
"Morningstar",0,1,76251,FO,"zzKRU Kylo G9 FOO G8 FOST G8 FOTP",1
"Morningstar",1,1,81504,Rogue1,"Jyn Chirrut Baze K-2SO G8 Cassian",1
"Morningstar",1,0,51069,Jawas,"Nebit G7 Jawa Engineer 5* G8, Jawa Scavenger G7, Jawa 6* G8 Dathcha",0
"Mo Yin",0,1,130966,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Assassin G8,",1
"Mo Yin",1,0,109953,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Mo Yin",1,1,100901,NestSisters,"zAV zzMT zDaka Zombie zNest",0
"Mo Yin",,,351983,HansMF,"Home One, Han's MF, HT Biggs X-wing, Phantom Ghost Cassian's U-wing, Bistan's U-wing,",1
"Mo Yin",0,1,88823,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac G8,",1
"Mo Yin",1,0,110087,Traya,"zzTraya zDN zSion zzEP zThrawn",1
"Mo Yin",1,1,110549,JTR,"zzzJTR zScav Rey, zzBB-8 zzR2-D2 Finn",1
"Mo Yin",,,84006,Nute-Wat,"Nute zB1 zB2 MagnaGuard Wat Tambor 4* G9,",0
"Mo Yin",1,1,119472,Revan Offense,"zzzJKR zGMY zBS zJolee zzHYoda",1
"Mo Yin",1,1,90830,Ewoks,"zChirpa Elder zPaploo Scout zWicket",1
"Mo Yin",1,0,104518,ShaakClones,"zzShaak Ti, zRex zEcho zzFives Clone Sergeant,",1
"Mo Yin",1,1,90100,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
"Mo Yin",0,1,109966,BH,"zzBossk zBoba zGreedo zIG-88 zJango",1
"Mo Yin",0,1,86113,FO,"zKRU zKylo FOE FOO FOST G9",1
"Mo Yin",1,0,104389,CLS,"zzzCLS zHan zLeia Old Ben G9, zzChewbacca",1
"Mo Yin",1,0,68785,Troopers,"Veers Starck G7 DT Shoretrooper G8 Stormtrooper G8",1
"Mo Yin",0,1,68678,Phoenix,"Hera G8 Chopper G8 Ezra G8 Zeb G8 Kanan G8",1
"Mo Yin",1,1,78625,Rogue1,"Jyn G8 Chirrut Baze K-2SO G9 Cassian",1
"Mo Yin",1,0,94334,zMaul,"Maul Dooku zzVader Savage Sith Empire Trooper,",0
"Clayts",1,1,101365,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
