Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Serpens",645725141,3596837,2203877,1392960,158,-2,63,123,50,38,163,2,14,23,54,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,11,8,6
"Bane531",326442512,2784643,1773656,1010987,175,-130,62,97,29,21,98,3,3,20,41,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6,5,3
"DarthNihilus51",421836832,1990293,1377328,612965,224,87,72,157,24,37,68,5,7,17,35,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3
"Qin Phfal",237375819,5579652,3306324,2273328,145,14,93,245,86,136,213,4,33,77,99,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,17,12,8
"Chrbro",197766336,5174778,2825431,2349347,120,-33,138,255,96,130,191,14,30,76,111,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,18,14,9
"serraz",796215915,620282,423454,196828,215,-251,23,0,1,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rellik",484158711,4194264,2477560,1716704,144,32,64,61,59,10,175,1,4,20,59,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,10,7
"Dexter",259247871,4512927,2682898,1830029,146,-83,93,217,83,95,159,11,22,57,83,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,8,6
"Mountain",623517979,5586310,3163168,2423142,130,141,294,253,103,162,207,16,35,74,111,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,21,12,8
"Falen Lacer",117659823,4438166,2525640,1912526,132,91,130,133,78,36,159,2,9,43,92,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,15,10,9
"Vegie",412128111,4632906,2638570,1994336,132,68,60,232,95,69,177,5,20,74,100,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,16,13,8
"Starblazee",827355616,3136499,1846627,1289872,143,-45,37,61,39,17,139,2,3,13,43,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,6,3
"Arcann",848853664,4644589,2657472,1987117,133,36,331,251,83,119,177,8,32,61,96,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,15,10,9
"Morningstar",579518733,5343574,2886268,2457306,117,-87,391,326,92,233,191,28,46,82,110,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,20,15,11
"Vaha68",517167991,4265815,2514976,1750839,143,36,55,59,58,11,176,1,3,20,60,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12,10,7
"Orion",951862265,5221800,2971587,2250213,132,-6,77,154,75,84,190,10,19,45,89,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,16,11,7
"GoldenStar",543582974,4645654,2759873,1885781,146,124,119,205,75,83,192,10,19,60,78,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,20,14,11
"KoninginKonan",968292886,4987568,3027054,1960514,154,-62,161,181,80,67,209,9,14,63,103,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,19,12,11
"JRobertson12",221913824,3194152,1771869,1422283,124,-567,203,232,56,87,106,8,20,37,71,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,12,7,6
"Jason",467564358,5863729,3378104,2485625,135,-75,319,246,111,133,225,15,33,85,115,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,22,14,12
"iotin",135236225,5453051,3162165,2290886,138,-18,227,258,110,110,201,9,27,92,122,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,18,12,8
"WildfireX",552286427,5244932,2964819,2280113,130,-102,87,146,97,44,197,0,17,51,115,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,22,13,11
"Layzie",953346373,3978673,2344834,1633839,143,-81,55,170,60,35,189,1,10,51,74,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,14,10,7
"Mo Jito",498187325,5101311,3021934,2079377,145,14,62,276,98,141,197,7,39,74,114,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,21,13,10
"Diath",858559118,5192892,3222723,1970169,163,-42,71,175,99,75,198,5,25,51,112,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,18,11,11
"Scruffy Nerferder",357461342,4449925,2725927,1723998,158,-181,330,188,84,95,164,11,21,44,94,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,15,10,8
"BearLee",387139863,4862379,2912274,1950105,149,61,99,156,62,40,181,5,8,60,71,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,14,11,7
"Azza 2017",525689438,3200898,2038993,1161905,175,90,49,204,29,82,119,11,14,35,52,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,5,4
"Chirrut Imwe",592673129,3789286,2314797,1474489,156,-44,60,200,64,59,146,2,16,48,69,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,9,7
"Texte239",847319871,4052086,2323123,1728963,134,-73,133,178,73,31,170,2,12,54,63,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,13,8,7
"FrankRizzo",747536177,1938203,1230252,707951,173,-307,146,104,22,21,71,1,6,10,30,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2
"Mo Yin",524533215,5394371,3100246,2294125,135,-6,296,253,117,129,192,10,29,82,109,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,18,12,8
"Bobba Fetters",884559799,5823423,3280550,2542873,129,-113,112,312,81,240,197,29,48,86,130,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,20,14,13
"Galey31",192979153,2642949,1590906,1052043,151,-46,182,259,23,73,83,11,16,38,53,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,2
"Bubbletrouzers",759646181,4791188,2721960,2069228,131,-146,121,298,70,180,170,18,43,64,86,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,14,10,8
"R2D2",889324759,5704901,3299599,2405302,137,-26,81,175,103,86,225,5,23,60,115,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,22,13,11
"Sometime ago I",735232346,4124133,2406708,1717425,140,-52,199,102,71,42,164,5,9,25,86,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,14,9,7
"Clayts",393881573,5351154,3120936,2230218,139,-2,262,180,101,62,216,2,22,62,105,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,19,11,10
"Bl4ckZeus",789769727,3799206,2332176,1467030,158,-101,201,218,63,20,169,1,10,69,90,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,16,10,8
