Player,Offense,Defense,GP,Name,Squad,Viable
"Ty Platus",0,1,116780,DRMalak,"zzzDR zHK-47 BSF zzMalak Sith Empire Trooper G8",1
"Ty Platus",0,1,130846,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Ty Platus",1,1,107201,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"Ty Platus",,,357063,Malevolence,"Malevolence Sun Fac SF, Soldier SF, Spy SF, Hyena Bomber, Vulture Droid, IG-2000",1
"Ty Platus",,,475495,Negotiator,"Negotiator 5* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",1
"Ty Platus",0,1,98507,Geonosians,"zzGBA Poggle Geo Soldier, Geo Spy, Sun Fac",1
"Ty Platus",0,1,125214,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"Ty Platus",1,0,107382,Traya,"zzTraya DN Sion G9, zzEP zzThrawn",1
"Ty Platus",1,1,104784,JTR,"zzJTR Scav Rey, zzBB-8 zzR2-D2 Finn",1
"Ty Platus",,,145893,Disintegration,"zAurra zzGreef Karga, zBoba zzBossk zzThe Mandalorian",1
"Ty Platus",,,105718,Nute-OR,"zNute zDooku zzJango zZaalbar zMission",1
"Ty Platus",1,1,139390,GAS,"zzzzGAS zRex zEcho zzFives zARC Trooper",1
"Ty Platus",1,1,116824,Revan Offense,"zzzJKR zGMY zBS zJolee zEzra",1
"Ty Platus",1,0,112880,CLS,"zzzCLS zHan Wedge G8, Biggs G8, zzChewbacca",1
"Ty Platus",1,1,76672,Rogue1,"Jyn G8, Chirrut Baze Bodhi Rook G8, Pao G8",1
"Ty Platus",,,340500,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing 6*, Phantom Ghost Cassian's U-wing, Wedge X-wing",0
"Ty Platus",,,58511,Mon Mothma,"Mon Mothma 4* G8, K-2SO G6, Lando 6* Bistan G7, Hoth Rebel Scout G8",0
"Ty Platus",1,0,73549,Troopers,"Veers Starck G9, DT Snowtrooper G8, Shoretrooper G8",0
"Ty Platus",0,1,72346,Phoenix,"Hera Kanan G8, Sabine Chopper Zeb G7",0
