Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Abachalypse",176519495,6251455,3555903,2695552,131,-122,233,277,114,186,224,17,42,94,132,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,22,14,12
"DarthDado",773529376,2788020,1595995,1192025,133,-381,144,215,44,40,106,3,11,41,51,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,9,6,5
"KoolKunt",387689431,5903412,3535675,2367737,149,-16,381,291,112,195,211,27,37,96,152,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,23,15,13
"elderjl24",289697996,5239696,3095871,2143825,144,80,316,260,100,143,182,9,35,73,98,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,20,14,10
"Mindl",793674244,5307980,3024427,2283553,132,-97,271,315,94,188,204,21,45,85,122,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,18,13,9
"Mason Vankae",819493511,5491808,3396573,2095235,162,-43,150,214,119,130,193,9,28,64,116,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,19,12,10
"Ty Platus",154287988,4874007,2842775,2031232,139,0,291,288,96,154,177,8,34,76,101,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,15,9,7
"Haj bolo",249233857,3715228,2312164,1403064,164,3,324,172,80,41,172,3,11,45,69,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,15,11,9
"czappia",168346675,3327540,2011984,1315556,152,-25,49,126,48,35,141,4,10,25,40,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,4
"llama the hut",225753191,3249912,2019008,1230904,164,106,168,188,60,56,133,5,19,31,60,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,6,6
"Siegfried",787553277,5443564,3137044,2306520,136,16,60,318,78,97,222,10,33,121,143,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,23,14,11
"Biggie",543612143,6260824,3687500,2573324,143,-103,471,348,116,290,217,35,56,104,141,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,21,14,12
"Marrec",662814751,6141248,3498315,2642933,132,41,160,248,112,138,231,14,31,94,140,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,22,14,10
"Kymbo",583526947,6764776,3953316,2811460,140,27,389,388,121,338,223,55,64,131,172,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,22,13,12
"L'one Starr",951659657,5375953,3178075,2197878,144,133,188,253,96,126,215,14,36,75,121,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,21,14,14
"Gabe Galaxyroamer",214377667,4777844,2687279,2090565,128,-122,219,226,75,111,192,16,23,63,111,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,18,11,8
"shanndmann",822836457,5722213,3366959,2355254,142,37,160,221,114,130,204,12,28,73,118,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,22,15,12
"Newmania",329662714,6450004,3752690,2697314,139,41,309,362,116,285,231,34,61,116,144,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,23,13,13
