Name,Count,G10+,G13+,R5,leader zeta,other zeta
"ARC Trooper",88,46,20,8,0,38
"Aayla Secura",68,8,1,0,0,0
"Admiral Ackbar",149,43,3,2,0,0
"Admiral Piett",108,16,11,11,0,36
"Ahsoka Tano",149,113,40,27,0,73
"Ahsoka Tano (Fulcrum)",114,11,0,0,0,4
"Amilyn Holdo",89,13,12,12,0,8
"Asajj Ventress",148,103,25,10,44,63
"Aurra Sing",78,13,3,2,2,3
"B1 Battle Droid",96,43,26,15,0,45
"B2 Super Battle Droid",129,41,25,8,0,42
"BB-8",109,38,17,13,0,60
"Barriss Offee",110,28,2,1,0,24
"Bastila Shan",144,102,25,8,60,0
"Bastila Shan (Fallen)",115,74,39,17,0,59
"Baze Malbus",82,11,1,1,0,0
"Biggs Darklighter",149,50,8,2,0,0
"Bistan",133,7,2,2,0,0
"Bo-Katan Kryze",81,1,0,0,0,0
"Boba Fett",149,93,20,8,0,47
"Bodhi Rook",97,0,0,0,0,0
"Bossk",126,83,35,19,83,49
"C-3PO",75,51,28,16,0,78
"CC-2224 "Cody"",145,26,3,0,16,0
"CT-21-0408 "Echo"",145,73,31,15,0,53
"CT-5555 "Fives"",149,82,44,26,0,131
"CT-7567 "Rex"",145,83,41,24,0,65
"Cad Bane",145,67,3,1,0,0
"Canderous Ordo",109,47,2,1,0,23
"Captain Han Solo",47,21,17,2,0,7
"Captain Phasma",145,37,19,17,15,0
"Cara Dune",114,7,3,2,0,4
"Carth Onasi",122,61,3,2,48,0
"Cassian Andor",121,17,1,1,0,3
"Chewbacca",97,53,36,26,0,84
"Chief Chirpa",117,58,1,0,78,0
"Chief Nebit",96,6,1,1,0,0
"Chirrut Îmwe",108,13,1,1,0,0
"Chopper",148,53,4,1,0,0
"Clone Sergeant - Phase I",149,54,3,1,0,0
"Clone Wars Chewbacca",149,5,0,0,0,4
"Colonel Starck",108,27,15,2,0,17
"Commander Luke Skywalker",113,89,49,25,68,132
"Coruscant Underworld Police",102,3,0,0,0,0
"Count Dooku",148,99,28,19,0,56
"Dark Trooper",88,2,2,2,0,0
"Darth Malak",42,39,24,19,0,80
"Darth Maul",140,55,15,3,29,0
"Darth Nihilus",122,49,13,5,18,28
"Darth Revan",62,58,46,29,55,112
"Darth Sidious",140,52,15,14,0,25
"Darth Sion",104,29,8,4,0,28
"Darth Traya",90,41,13,9,48,41
"Darth Vader",149,128,76,52,85,213
"Dathcha",123,16,1,1,0,0
"Death Trooper",118,21,1,1,0,4
"Dengar",129,43,5,1,0,23
"Director Krennic",85,19,10,1,2,0
"Droideka",125,38,25,6,0,37
"Eeth Koth",96,11,0,0,0,0
"Embo",69,15,2,0,4,9
"Emperor Palpatine",144,121,50,39,87,73
"Enfys Nest",85,40,8,7,0,32
"Ewok Elder",148,88,1,0,0,0
"Ewok Scout",149,44,1,0,0,0
"Ezra Bridger",148,85,8,6,0,41
"Finn",121,42,17,14,29,0
"First Order Executioner",119,47,21,18,0,0
"First Order Officer",137,56,19,17,0,0
"First Order SF TIE Pilot",108,21,17,0,0,0
"First Order Stormtrooper",130,25,18,17,0,20
"First Order TIE Pilot",149,43,18,1,0,20
"Gamorrean Guard",47,2,1,1,0,0
"Gar Saxon",127,6,3,1,5,0
"Garazeb "Zeb" Orrelios",148,26,4,0,0,17
"General Grievous",138,72,37,29,55,65
"General Hux",91,25,22,19,0,22
"General Kenobi",134,74,57,41,0,74
"General Skywalker",26,26,18,17,24,72
"General Veers",142,45,15,2,0,25
"Geonosian Brood Alpha",109,81,34,12,70,87
"Geonosian Soldier",149,95,12,5,0,0
"Geonosian Spy",141,81,28,8,0,0
"Grand Admiral Thrawn",136,71,25,22,21,56
"Grand Master Yoda",144,126,47,28,40,88
"Grand Moff Tarkin",149,87,23,3,21,25
"Greedo",138,36,4,2,0,19
"Greef Karga",114,14,3,2,0,21
"HK-47",137,74,24,7,0,77
"Han Solo",140,82,35,26,0,70
"Hera Syndulla",148,54,5,2,0,22
"Hermit Yoda",74,38,20,11,0,45
"Hoth Rebel Scout",145,9,1,1,0,0
"Hoth Rebel Soldier",136,4,0,0,0,0
"IG-100 MagnaGuard",148,36,20,5,0,14
"IG-11",124,5,3,1,0,3
"IG-86 Sentinel Droid",149,11,0,0,0,0
"IG-88",146,63,5,1,0,18
"Ima-Gun Di",89,6,0,0,0,0
"Imperial Probe Droid",51,6,2,1,0,7
"Imperial Super Commando",107,4,1,0,0,0
"Jango Fett",140,75,7,4,29,37
"Jawa",143,7,1,1,0,0
"Jawa Engineer",60,6,1,1,0,0
"Jawa Scavenger",117,8,1,1,0,0
"Jedi Consular",149,44,1,0,0,0
"Jedi Knight Anakin",134,98,49,38,0,75
"Jedi Knight Guardian",148,1,0,0,0,0
"Jedi Knight Luke Skywalker",10,10,10,9,10,10
"Jedi Knight Revan",89,83,55,33,82,149
"Jedi Master Luke Skywalker",5,5,4,4,4,24
"Jolee Bindo",126,84,27,13,0,85
"Juhani",108,43,4,1,0,21
"Jyn Erso",107,19,1,1,11,5
"K-2SO",128,8,2,1,0,4
"Kanan Jarrus",149,36,7,2,0,31
"Kit Fisto",88,7,0,0,0,0
"Kuiil",121,5,4,3,0,6
"Kylo Ren",144,58,27,20,0,50
"Kylo Ren (Unmasked)",144,66,37,26,61,49
"L3-37",94,11,1,1,0,4
"Lando Calrissian",104,34,17,10,0,0
"Lobot",105,7,0,0,0,0
"Logray",134,46,0,0,0,23
"Luke Skywalker (Farmboy)",149,28,2,0,5,6
"Luminara Unduli",141,52,3,1,9,0
"Mace Windu",149,90,1,0,0,0
"Magmatrooper",140,7,1,0,0,0
"Mission Vao",132,51,4,1,0,39
"Mob Enforcer",106,0,0,0,0,0
"Moff Gideon",106,5,3,2,1,2
"Mon Mothma",99,13,6,6,20,21
"Mother Talzin",119,51,9,4,55,43
"Nightsister Acolyte",89,15,0,0,0,0
"Nightsister Initiate",131,6,1,0,0,7
"Nightsister Spirit",146,16,1,0,0,0
"Nightsister Zombie",145,57,8,2,0,0
"Nute Gunray",139,64,4,3,0,37
"Obi-Wan Kenobi (Old Ben)",143,50,16,11,0,46
"Old Daka",146,67,19,8,0,47
"Padmé Amidala",115,70,41,24,83,80
"Pao",80,3,1,1,0,3
"Paploo",141,71,2,0,0,31
"Plo Koon",141,27,4,1,0,0
"Poe Dameron",143,22,12,12,0,0
"Poggle the Lesser",145,94,5,2,0,0
"Princess Leia",149,56,10,0,0,22
"Qi'ra",93,19,0,0,0,7
"Qui-Gon Jinn",136,35,0,0,17,0
"R2-D2",143,75,24,11,0,101
"Range Trooper",95,10,1,1,0,0
"Rebel Officer Leia Organa",106,26,17,2,0,9
"Resistance Hero Finn",79,13,11,11,0,11
"Resistance Hero Poe",90,15,11,11,0,10
"Resistance Pilot",149,19,12,1,0,0
"Resistance Trooper",110,24,14,13,0,0
"Rey",10,10,10,10,10,48
"Rey (Jedi Training)",59,44,33,24,41,65
"Rey (Scavenger)",128,60,13,13,0,15
"Rose Tico",66,14,11,11,0,1
"Royal Guard",149,23,12,0,0,0
"Sabine Wren",149,26,2,1,0,11
"Savage Opress",119,32,2,0,0,17
"Scarif Rebel Pathfinder",131,6,2,2,0,0
"Shaak Ti",122,61,25,6,60,52
"Shoretrooper",98,16,4,2,0,0
"Sith Assassin",108,8,0,0,0,0
"Sith Empire Trooper",97,33,16,8,0,0
"Sith Eternal Emperor",8,8,8,8,8,40
"Sith Marauder",93,28,18,13,0,0
"Sith Trooper",94,26,18,18,0,24
"Snowtrooper",149,17,5,3,0,0
"Stormtrooper",145,19,3,1,0,5
"Stormtrooper Han",144,43,1,1,0,15
"Sun Fac",143,69,7,5,0,0
