Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Wem204",892953661,2237170,1397750,839420,166,-80,21,53,18,5,97,1,1,10,29,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,1
"Zoron",763617986,1947442,1231828,715614,172,248,40,10,20,0,75,0,0,2,21,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1
"Austin",122863969,2618029,1588711,1029318,154,202,25,58,20,12,118,1,3,10,26,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,2
"Arima",151418854,895773,598162,297611,200,190,0,0,0,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amanda Lorian",461945337,1818362,1139815,678547,167,-192,87,50,14,6,81,1,2,6,30,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,1
"Manimal666",822424418,1302172,748400,553772,135,-876,53,38,14,0,49,0,0,5,12,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,1
"Rodri Jube",317745375,1593792,1004539,589253,170,-319,19,140,11,27,61,4,7,10,20,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cooner65",185285257,1111230,784761,326469,240,-330,89,82,10,6,45,1,1,7,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
"Baxter Exibil",436812938,996529,655185,341344,191,118,45,30,3,0,50,0,0,3,14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haryk Lasaar",771366972,1406582,982836,423746,231,164,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"Nichols",159686726,1757612,1185951,571661,207,180,109,54,19,8,62,1,2,6,17,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,3
"Andrew Wiggin",845439946,4245576,2581031,1664545,155,183,182,89,59,46,160,7,9,20,55,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,9,4
"Springtrap",579286655,2406414,1511149,895265,168,-57,79,39,10,3,86,0,1,8,26,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,2
"Durendal",731811811,1001928,675581,326347,207,21,88,39,5,0,43,0,0,4,12,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"EmperorC3Po",638658591,1320863,871166,449697,193,27,11,7,5,0,39,0,0,1,3,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"phillyg3000",296598161,1321773,890159,431614,206,44,22,7,2,0,42,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helo Athena",617538544,2393047,1475819,917228,160,-7,33,52,16,8,73,0,2,9,24,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"WhizzyWhizz",966671638,584587,432446,152141,284,-183,23,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
