Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Ransolm Casterfo",571728168,4947419,2875845,2071574,138,185,243,164,94,97,177,16,17,45,96,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,16,10,10
"JediBreakout",543934581,4555162,2618766,1936396,135,-451,213,301,67,201,168,26,39,58,76,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,13,7,8
"Abe the Oddball",472176875,6209043,3483239,2725804,127,65,378,414,113,378,223,55,74,108,118,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,19,11,9
"VirginAlarm",736712549,3650611,2152782,1497829,143,193,143,258,36,152,152,25,27,37,58,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,12,6,4
"Salznuss",912617969,3165875,1819458,1346417,135,410,175,197,27,77,136,10,18,29,49,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,8,5,4
"Rypien",568925861,4701361,2714514,1986847,136,-173,257,345,89,206,170,19,45,76,101,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,16,11,8
"Dubi Nuz",245769968,4696644,2820300,1876344,150,-127,184,199,82,134,188,13,28,39,69,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,18,10,11
"Q2cold",566548746,2851140,1769211,1081929,163,-611,90,229,32,62,109,4,20,33,49,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,7,5,3
"Tantema Garnik",198649424,3636453,2188084,1448369,151,-402,507,467,53,275,106,40,53,62,74,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,9,6,5
"Brightframe",686711653,5002636,3019578,1983058,152,299,92,235,78,163,205,22,35,50,82,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,17,9,9
"Ghost513",219972855,3445343,1912751,1532592,124,-205,162,249,38,125,124,16,25,36,53,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,9,6,5
"thecleps",734748422,2994049,1859786,1134263,163,-391,263,308,59,102,98,16,21,51,63,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,9,7,4
"The Next Reclaimer",774998361,4893671,2745260,2148411,127,159,236,267,77,165,189,21,33,65,86,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,12,8,6
"Krepler",963262333,4246597,2373819,1872778,126,-322,84,165,71,91,160,13,18,34,60,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,9,6,4
"Damrok Sliersgloom",912939125,6173717,3518799,2654918,132,5,127,302,112,240,226,27,48,91,117,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,19,12,7
"Regn",568562377,3668082,2140200,1527882,140,209,513,278,66,111,153,9,29,51,77,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,15,10,6
"Davram Bashere",195583113,5310106,3121301,2188805,142,392,429,362,104,293,192,37,59,75,104,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,18,12,8
"carovnicek",979789966,4916242,2638164,2278078,115,41,333,252,83,156,191,26,32,61,96,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,18,10,6
"Sarfa Jons",477351389,4726875,2771161,1955714,141,-75,368,485,61,358,166,51,68,90,102,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,14,11,8
"KingSlayer54",386768436,3868416,2169073,1699343,127,-239,318,243,52,126,137,15,28,41,62,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,10,7,4
"raider101",973427999,4813771,2711599,2102172,128,-203,210,305,48,201,211,29,30,77,99,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,16,8,8
"MikeNice",952134197,3781649,2245543,1536106,146,-290,236,332,69,179,129,19,40,50,78,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,14,8,6
